epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1276.43,0.98328,0.49674,0.96202,0.88757,0.69474,0.76908,0.50044,1.11918,0.58722,1.11224,0.000848969,0.000848969,0.000848969
43,1306.03,0.95992,0.49417,0.96897,0.81677,0.72818,0.79286,0.54587,1.01987,0.53225,1.06343,0.000834822,0.000834822,0.000834822
44,1337.33,0.94802,0.49892,0.96389,0.72026,0.78618,0.78161,0.52648,1.02767,0.51803,1.07086,0.000820675,0.000820675,0.000820675
45,1364.78,0.94762,0.48337,0.96177,0.83616,0.67837,0.77366,0.51635,1.07106,0.55427,1.09179,0.000806528,0.000806528,0.000806528
46,1395.07,0.94863,0.47867,0.95973,0.85095,0.80208,0.83894,0.55316,1.10168,0.55996,1.09108,0.00079238,0.00079238,0.00079238
47,1429.1,0.92677,0.47308,0.95274,0.94102,0.66141,0.80148,0.53862,1.07157,0.54875,1.09331,0.000778233,0.000778233,0.000778233
48,1457.56,0.94824,0.47887,0.96003,0.82578,0.71616,0.79026,0.53201,1.03537,0.5651,1.06967,0.000764086,0.000764086,0.000764086
49,1489.04,0.94922,0.48065,0.96112,0.77868,0.77024,0.80429,0.53241,1.02433,0.5481,1.06675,0.000749939,0.000749939,0.000749939
50,1517.75,0.9264,0.47128,0.94333,0.84956,0.76872,0.81759,0.54455,1.08694,0.53504,1.11016,0.000735792,0.000735792,0.000735792
51,1548.59,0.9233,0.45676,0.94577,0.88119,0.74496,0.8068,0.54261,1.06478,0.59709,1.07983,0.000721645,0.000721645,0.000721645
52,1578.12,0.92862,0.46266,0.94312,0.88874,0.70887,0.82261,0.55975,1.05196,0.50686,1.08377,0.000707498,0.000707498,0.000707498
53,1607.19,0.91338,0.45681,0.94559,0.84808,0.77515,0.83231,0.56277,1.03981,0.51048,1.06349,0.000693351,0.000693351,0.000693351
54,1638.5,0.91981,0.46653,0.94027,0.87051,0.74453,0.82869,0.54743,1.07281,0.52751,1.09429,0.000679204,0.000679204,0.000679204
55,1666.54,0.88861,0.44174,0.93907,0.91135,0.74901,0.82915,0.55887,1.00699,0.51038,1.05465,0.000665057,0.000665057,0.000665057
56,1700.99,0.90434,0.45505,0.94998,0.85295,0.69957,0.80266,0.52657,1.05338,0.52876,1.08593,0.000650909,0.000650909,0.000650909
57,1732.6,0.90919,0.44586,0.94386,0.78107,0.79027,0.81347,0.55234,1.07904,0.50278,1.08119,0.000636762,0.000636762,0.000636762
58,1760.63,0.89875,0.44995,0.93581,0.88369,0.76454,0.83438,0.55738,1.05881,0.49469,1.09136,0.000622615,0.000622615,0.000622615
59,1792.26,0.89266,0.44045,0.9355,0.86581,0.71019,0.79173,0.53197,1.0495,0.50958,1.06119,0.000608468,0.000608468,0.000608468
60,1821.58,0.8762,0.44084,0.94117,0.82459,0.75898,0.79488,0.53325,1.04587,0.52044,1.08276,0.000594321,0.000594321,0.000594321
61,1850.73,0.88263,0.4416,0.93744,0.82919,0.72177,0.78185,0.52593,1.06983,0.51084,1.08463,0.000580174,0.000580174,0.000580174
62,1882.32,0.88303,0.42677,0.92228,0.87794,0.72038,0.81434,0.54331,1.09605,0.53026,1.10178,0.000566027,0.000566027,0.000566027
